review,sentiment
"...and boy is the collision deafening. A female telephone lineman is taken over by the spirit of a recently-deceased ninja, strips down to her undies, pours tomato juice on her body so her boyfriend can lick it off, performs a seductive dance, then goes off to kill the policemen who killed the ninja she's possessed by. Only to be hunted down by a one-eyed ninja master. Just like in real life, eh? Enlivened only by Sho Kosugi's martial arts choreography (and his declining to put his obnoxious kids in this one), you really have to see this to believe it. It's the ultimate mix of totally at-odds genres.",negative
"Some spoilers If you are a big horror movie fan, then you will know that Halloween paved the way for many slasher films. Often imitated, never duplicated, this movie is a true horror classic and is definitely one of the scariest movies ever made, if not THE scariest.<br /><br />I actually saw this movie after seeing the rest of the series (don't ask me why). I honestly saw the other 7 movies before seeing this one, that's just how it worked out. But I would have to say this one blows all the others away. It is genuinely frightening, and seeing Michael pop out from behind a bush or walk around in the dark sends a chill down your spine. My favorite part of the movie was when Michael stabs a guy, and leans his head to one side. It is one of the eeriest images in movie history.<br /><br />Later slashers, such as the Friday the 13th films, were more fun and less intense than this movie. I do like the F13 series better than the Halloween series, but this movie alone is better than all the F13 movies. Michael Myers is such a scary villain because he is realistic, you could imagine a crazed guy like him going around killing people. I admit this movie gave me nightmares after watching it for a few nights.<br /><br />What's great about this movie is that it doesn't rely on gore or humor to entertain the audience. It is just pure terror. It's too bad the later films of the series swayed from this one, because this is as good of an example of a spectacular slasher movie as they come.",positive
"Art imitates life imitates art. Atticus Finch is reincarnated into the D.A. in this tragic and suspenseful gripping documentary that plays more like a who-done-it and how did it happen. The authenticity and sometimes reluctant honesty of the individuals make this a compelling story in many layers. Although racism is one of the themes there are other elements such as work ethic, integrity, and coping with grief that have drawn me back to view and review this film again and again. The music is driving but not obtrusive; the pacing and visuals are such that there is no mistaking the fact that these are real people going through an authentic experience.",positive
"I have remembered this cartoon for over 50 years - what staying power it has! It was funny and creative; I wish my children and grandchildren could have seen it. It ranks right up there with Winky Dink - another favorite. I was pleased to find out that one of the creators later worked on Rocky and Bullwinkle. These early shows had a lot going for them that todays cartoons for kids don't have. Today's cartoons seem to push the idea that one needs something special, some magic formula or talent to be able to succeed against evil or dangerous circumstances. While the early cartoons didn't address evil very much - it WAS a much gentler and safer time - they allowed us to develop our own talents and character.",positive
"I have, ""Things to Come,"" on D.V.D. and it's very clear compared to my VHS version. The audio is fair, but can be hard to understand at times. <br /><br />I liked the movie so much that I searched for a copy of the book and found it.It gave details of why some things happened. The best things about the movie are the small things that I didn't notice at first. Such as, John Cabal playing with a toy airplane at a Christmass party, like it was a dive bomber, out dateing sea power by naming a battleship,""Dinosuar."" Ships sunk by air-power, an undeclared enemy sneak attack by airplanes. Swept flying wing planes. Strong rolls for the women through the entire movie. <br /><br />There are more, see the movie to enjoy them.",positive
"Lovely Candace Bergen as the widow Perdicaris are kidnapped and held for ransom by the Sheik Raisuli played by one dashing Sean Connery. The incident comes during 1904 as Theodore Roosevelt runs for election to the presidency in his own right. Needing a good example to show off the muscular foreign policy of the United States, Brian Keith as Roosevelt issues a stunning declaration to the Sultan of Morocco, ""Perdicaris alive or Raisuli dead.""<br /><br />But in this adaptation of that incident the famous declaration is the only true thing about this story. The Perdicaris in question was in reality one Ion Perdicaris who was a Greek immigrant and dilettante playboy. In fact Perdicaris gave up his American citizenship years ago and was back as a Greek national. Never mind that though, his predicament was serviceable enough at the time.<br /><br />The damsel in distress makes better screen material though so it's a widow woman and her two kids that are in harm's way here. Of course as presented here the incident is also used by some of our European powers to get their foothold into Morocco. The intrigues get far beyond one brigand's demand for ransom.<br /><br />The Wind and the Lion is hardly history. But it is an enjoyable film and Sean Connery is always fun to watch. Brian Keith also fits my conception of Theodore Roosevelt and the scenes in the Roosevelt White House do ring true to all the stories told. John Huston plays the ever patient Secretary of State John Hay who Roosevelt had inherited from his predecessor William McKinley.<br /><br />But kids don't use this film to skip reading a history assignment on the Theodore Roosevelt era.",positive
"German filmmaker Ulli Lommel has managed a task many horror fans thought was impossible: he's unseated fellow Teuton Uwe Boll for the crown of director of the worst horror film ever made.<br /><br />Lommel is truly the Ed Wood of the new millennium. This film is as shoddy and laughable as the best-worst of EW. I am both proud and embarrassed to say that I watched it in toto, morbidly fascinated to see just low the bar could be set. The answer is: subterranean; Lommel dug a pit and buried it.<br /><br />The fun begins with the cast of international nobodies. Only someone who has lived in Los Angeles, where every auto mechanic, doctor and mailman is an actor or screenwriter waiting to be discovered, could easily understand how Lommel managed to find so many wannabe actors willing to spew his ridiculous dialog with a straight face.<br /><br />The main character, a villainous beat cop, is played by a German actor with a thick German accent. Aside from being a serial killer, he is also the oldest beat cop in LA. Despite the fact that he stops innocent women drivers and takes them into custody, then drags them into his home (which inexplicably is the top floor of a furniture warehouse), and does all this in plain sight of his rookie partners, the LAPD refuses to investigate, going so far as to physically attack one of his accusers in a ninja style raid on his apartment.<br /><br />The sets are excruciatingly bad. The production designer's budget apparently included just enough money for a can of paint; enough to paint ""Precinct 707"" on a cardboard wall.<br /><br />Since the actors were obviously unpaid non-professionals--a sad assortment of European emigres (possibly deportees if they acted in their native lands), bimbos, mimbos, and desperate middle-aged women--and since little if any money was spent on sets, special efx, locations or other production value, it is only fair to mention that they did spring for a few genuine-looking police uniforms. Sadly, they couldn't afford a police car; the uniformed cops cruise the streets in a shiny new Mercury rental.<br /><br />More than half of the story focuses on the dirty deeds of our deranged German LAPD officer and the futile efforts of two young rookies to stop him. One of these young actors is especially pitiable because he's the only actor in this whole mess with even a vague shot at a real career in the movies. The other fits right in, with a rockabilly hairdo and tortured Brando posing that needs to be seen to be appreciated.<br /><br />The latter part of the film is where the title gets its zombie, as the victims of our killer are resurrected after he murders a girl who had just visited some voodoo priestesses to have a protective spell put on her. Don't ask why a girl from Romania would resort to voodooism in anticipation of being murdered, just accept Lommel's logic and enjoy the absurd ride.<br /><br />After much prolonged hand-clawing out of straw-covered roadside graves, the zombie girls manage to make their appearance. They look exactly as they did before death, maybe even prettier, with black glamor make-up generously airbrushed around their eyes. Looking nothing like zombies, they look more like high fashion models ready for the runway.<br /><br />At this point in the movie Lommel borrows a creative note from his lauded countryman Boll, and injects large doses of cheesy Euro-trash techno into the soundtrack. We're talking prehistoric electronic bumblebee noise. Stuff they might have played in an Ibiza disco when Lommel was still young enough to shake his booty.<br /><br />Unlike other zombies, Lommel's girls speak and function as normal... er, I mean, as they did before becoming zombified. This gives our auteur ample opportunities to shower us with more of his golden dialog. Yes, a golden shower it is.<br /><br />I won't spoil anything by revealing the shock ending. All I can say is it's perfectly in tune with the rest of this masterpiece. The spirit of Ed Wood lives on... or should I say his geist.",negative
"I can only guess that this movie was an experiment that misfired. Years earlier, it would have been moving images accompanied by music. Later, it would have been sound added to silents. Eventually it would have been Technicolor, Cinemascope or Imax. This movie must have been a misguided attempt to introduce a new element to the talking picture. During all the emotional scenes, the character stops in mid dialogue and their inner thoughts are narrated while they gaze off into the distance or appeal to the camera. This interruption is painful at it's very least. Imagine these top tier actors trying to look busy while the narration drones on. Painful. I have no idea who came up with this gimmick, but it was the only time I ever saw it used - and for good reason. In every scene the actors were forced to roll their eyes, wring their hands, or overact to such a degree, I actually wondered if this was really a comedy. <br /><br />The story is a hopeless soap opera that takes place over a couple of generations. Norma Shearer, disappointed in love, searches for a reason to live. She has a friend, played by Ralph Morgan, who worships her - but she takes him for granted. She is attracted to a doctor, played by Clark Gable, but he is self absorbed and isn't interested in her. She settles for a weakling that needs her desperately. She marries him only to find that there is insanity in his family and she can never have a child with him. Along comes the doctor who selfishly pops a bun in her oven, only to find out later that he loves her after all. The child builds confidence in her husband who becomes a success, but she realizes that it's really Clark she loves after all. Confused yet? Forget the rest, just watch a couple of episodes of ""As the World Turns"" and it'll all become clear.<br /><br />If your are ever forced to watch this movie, hold out for the final scene. The gyrations of the actors put Harold LLoyd to shame. It is not to be missed.",negative
"Why is it that a woman cannot be a strong character in a movie without sleeping with the leading man? The campaign manager in this movie dreams of leading Tom Sellick to the White House. It's all she can think about. So, why on earth must she have had an affair with him? It added nothing to the plot and served only to demean successful women. The only value of that tidbit was the cute ""we've all slept with your husband"" scene. <br /><br />Also, couldn't the people who made this movie have watched the national conventions they were spoofing? Airing between the two major political conventions only served to highlight their total ignorance of the nomination and selection process.",negative
"This movie is fun to watch , doesnt have much of a plot (well, there isn't a plot), but there are good jokes and situations that you will laugh at. The basic storyline is Cheech is trying to have a nice date, while Chong is partying with Cheech's cousin (They smoke dope , go in a music store, a massage parlor, a comedy club, and even go into someones house they don't even know! Rated R",positive
